edad,ingresos_mensuales,antiguedad_laboral,tipo_empleo,monto_prestamo,plazo_meses,historial_crediticio,num_creditos_activos,deuda_actual,tiene_vivienda_propia,ratio_cuota_ingreso,default
25,2715.0,26,Independiente,7673.0,24,Malo,1,3499.0,1,0.118,1
58,2518.0,0,Formal,2368.0,48,Bueno,5,358.0,0,0.02,0
53,3249.0,11,Formal,7841.0,48,Bueno,4,3589.0,0,0.05,0
42,3179.0,24,Formal,9958.0,36,Regular,0,3327.0,1,0.087,1
42,3730.0,20,Formal,12332.0,60,Malo,2,5285.0,0,0.055,0
63,4886.0,9,Formal,8227.0,24,Bueno,1,850.0,0,0.07,0
25,3948.0,26,Formal,9235.0,12,Bueno,2,2364.0,0,0.195,0
55,5458.0,4,Formal,16408.0,48,Regular,0,6849.0,0,0.063,0
30,3629.0,20,Formal,11409.0,36,Bueno,1,4649.0,1,0.087,0
25,7382.0,15,Formal,5938.0,24,Regular,3,5974.0,0,0.034,0
46,5408.0,6,Independiente,6390.0,12,Regular,3,4495.0,0,0.098,0
68,4430.0,27,Formal,13060.0,12,Malo,5,7695.0,0,0.246,1
57,4892.0,22,Formal,8133.0,12,Bueno,5,2873.0,0,0.139,0
58,3282.0,0,Formal,7467.0,24,Malo,2,887.0,1,0.095,0
56,3707.0,2,Formal,5830.0,60,Regular,4,6358.0,0,0.026,1
59,3653.0,1,Independiente,12786.0,24,Malo,5,5323.0,1,0.146,1
46,3019.0,12,Informal,4270.0,48,Bueno,2,1288.0,1,0.029,0
27,2354.0,12,Formal,5320.0,12,Regular,2,3632.0,0,0.188,0
62,4993.0,21,Formal,12764.0,24,Regular,3,2268.0,0,0.107,1
43,5788.0,20,Formal,12678.0,60,Regular,5,8621.0,0,0.037,1
45,4724.0,0,Formal,21886.0,24,Bueno,4,5345.0,0,0.193,0
39,3944.0,14,Informal,6779.0,24,Bueno,5,3426.0,1,0.072,0
29,8681.0,23,Independiente,5883.0,48,Bueno,4,14502.0,0,0.014,0
66,3146.0,26,Independiente,6232.0,12,Bueno,1,4583.0,0,0.165,0
59,4487.0,8,Informal,2550.0,12,Regular,1,1049.0,0,0.047,1
52,6108.0,1,Independiente,1788.0,60,Malo,5,7757.0,1,0.005,1
40,2618.0,4,Formal,8211.0,36,Regular,2,3720.0,1,0.087,1
61,5139.0,10,Independiente,5625.0,36,Bueno,1,5006.0,1,0.03,0
47,7574.0,13,Independiente,4451.0,12,Bueno,1,3764.0,0,0.049,0
42,4068.0,10,Formal,7407.0,24,Bueno,2,1717.0,0,0.076,1
43,4335.0,2,Independiente,8320.0,36,Bueno,3,7601.0,0,0.053,1
32,3153.0,10,Formal,6511.0,36,Regular,1,2479.0,1,0.057,0
